,price
1390,950000
1391,378000
1392,445000
1393,460000
1394,1080000
1395,550000
1396,327000
1397,675000
1398,371000
1399,542000
1400,350000
1401,608250
1402,800000
1403,415000
1404,237000
1405,475000
1406,555000
1407,939000
1408,410000
1409,365000
1410,215000
1411,415000
1412,1049000
1413,640000
1414,450000
1415,808000
1416,1225000
1417,600000
1418,643000
1419,802000
1420,273500
1421,380000
1422,485500
1423,624000
1424,550000
1425,625000
1426,515000
1427,500000
1428,365000
1429,560000
1430,118125
1431,465000
1432,522500
1433,775000
1434,465000
1435,520000
1436,175000
1437,610000
1438,349000
1439,207000
1440,375000
1441,835000
1442,762500
1443,249950
1444,945000
1445,275000
1446,3635000
1447,739000
1448,910000
1449,249000
1450,450000
1451,335000
1452,300000
1453,396000
1454,760000
1455,490000
1456,555000
1457,1220000
1458,605000
1459,550000
1460,415000
1461,549000
1462,210750
1463,700000
1464,312000
1465,286300
1466,640000
1467,250000
1468,359950
1469,194900
1470,740000
1471,500000
1472,335000
1473,603000
1474,397000
1475,228000
1476,345000
1477,348000
1478,219950
1479,695500
1480,355000
1481,699000
1482,191950
1483,571000
1484,585000
1485,404000
1486,169500
1487,299000
1488,369000
1489,390000
1490,400000
1491,722080
1492,620000
1493,324500
1494,1175000
1495,840000
1496,264000
1497,245000
1498,370000
1499,263500
1500,370000
1501,405000
1502,425000
1503,555000
1504,344000
1505,382880
1506,567000
1507,185000
1508,785000
1509,224950
1510,682000
1511,480000
1512,450000
1513,339000
1514,230000
1515,397500
1516,355000
1517,675000
1518,195000
1519,530000
1520,429000
1521,295000
1522,405000
1523,650000
1524,467000
1525,235000
1526,230000
1527,287000
1528,423000
1529,1855000
1530,167000
1531,1250000
1532,369950
1533,251000
1534,375000
1535,399900
1536,312500
1537,2983000
1538,307500
1539,285000
1540,399950
1541,785000
1542,314000
1543,380000
1544,775000
1545,222000
1546,332000
1547,395000
1548,360000
1549,650000
1550,432500
1551,489950
1552,300000
1553,740000
1554,397000
1555,340000
1556,422000
1557,560200
1558,475000
1559,614000
1560,405000
1561,236000
1562,330000
1563,432500
1564,320000
1565,725000
1566,495000
1567,1070000
1568,249500
1569,399000
1570,1850000
1571,545000
1572,550000
1573,1250000
1574,1990000
1575,220000
1576,675000
1577,535000
1578,405000
1579,565000
1580,434000
1581,845000
1582,524000
1583,525000
1584,839900
1585,323000
1586,828950
1587,208000
1588,274950
1589,390000
1590,350000
1591,600000
1592,693000
1593,2700000
1594,303000
1595,649950
1596,316000
1597,292000
1598,825000
1599,290000
1600,650000
1601,856600
1602,560000
1603,795000
1604,431000
1605,121800
1606,430000
1607,401000
1608,410000
1609,478000
1610,418800
1611,455000
1612,364500
1613,374950
1614,336500
1615,750000
1616,350000
1617,815241
1618,2400000
1619,318000
1620,431650
1621,212000
1622,700000
1623,379770
1624,2140000
1625,365000
1626,395950
1627,565000
1628,725000
1629,248000
1630,368500
1631,405000
1632,122000
1633,240000
1634,635000
1635,154950
1636,520000
1637,269950
1638,175000
1639,305100
1640,460000
1641,324500
1642,680000
1643,535000
1644,414000
1645,596000
1646,950000
1647,279900
1648,373000
1649,288790
1650,249000
1651,510000
1652,359000
1653,453000
1654,427000
1655,670000
1656,563500
1657,169500
1658,465000
1659,237000
1660,485000
1661,975000
1662,419000
1663,320000
1664,570000
1665,223000
1666,386000
1667,311000
1668,485000
1669,748000
1670,337000
1671,570000
1672,265000
1673,374500
1674,553000
1675,640000
1676,376500
1677,447000
1678,699950
1679,172380
1680,546000
1681,286000
1682,545000
1683,273000
1684,350000
1685,826000
1686,458000
1687,289000
1688,230000
1689,283000
1690,485000
1691,583000
1692,364000
1693,675000
1694,150000
1695,435000
1696,575000
1697,755000
1698,830000
1699,420000
1700,298950
1701,300000
1702,407500
1703,367500
1704,580000
1705,165000
1706,379900
1707,337000
1708,640000
1709,760000
1710,545000
1711,298000
1712,341500
1713,890000
1714,257500
1715,385000
1716,679000
1717,250000
1718,665000
1719,100000
1720,375000
1721,921500
1722,525000
1723,1400000
1724,160000
1725,730000
1726,248000
1727,180000
1728,288790
1729,512000
1730,535000
1731,390000
1732,290000
1733,536000
1734,532000
1735,753000
1736,425000
1737,327000
1738,475000
1739,980000
1740,530000
1741,450000
1742,790000
1743,185000
1744,583000
1745,400000
1746,390000
1747,653000
1748,246000
1749,450500
1750,922000
1751,399950
1752,830000
1753,1500000
1754,620000
1755,620000
1756,319500
1757,451300
1758,667000
1759,129000
1760,550500
1761,500000
1762,485000
1763,675000
1764,200000
1765,688100
1766,605000
1767,534000
1768,571000
1769,400000
1770,268500
1771,535000
1772,159100
1773,1349000
1774,990000
1775,565000
1776,530000
1777,428000
1778,218000
1779,370000
1780,428000
1781,250000
1782,386591
1783,290000
1784,630000
1785,545000
1786,605000
1787,310000
1788,575000
1789,995000
1790,375000
1791,257000
1792,536000
1793,437000
1794,430000
1795,638500
1796,457000
1797,205000
1798,760000
1799,568000
1800,880000
1801,595000
1802,705000
1803,174500
1804,226500
1805,281000
1806,645000
1807,571500
1808,527700
1809,280000
1810,618000
1811,750000
1812,570000
1813,357500
1814,1250000
1815,204900
1816,208950
1817,630000
1818,852880
1819,330000
1820,122000
1821,699000
1822,414000
1823,1388000
1824,333000
1825,965000
1826,325000
1827,330000
1828,1050000
1829,1150000
1830,710000
1831,445000
1832,1100000
1833,585000
1834,420000
1835,465750
1836,335900
1837,620000
1838,210000
1839,857326
1840,509500
1841,385000
1842,149500
1843,380000
1844,275000
1845,750000
1846,287450
1847,320000
1848,950000
1849,362000
1850,197500
1851,305000
1852,445000
1853,734000
1854,450000
1855,839990
1856,580000
1857,235000
1858,889000
1859,640000
1860,635000
1861,1090000
1862,1165000
1863,340500
1864,657500
1865,365000
1866,556000
1867,285750
1868,928990
1869,315000
1870,921800
1871,195700
1872,650000
1873,380000
1874,300000
1875,320000
1876,380000
1877,309000
1878,282000
1879,785500
1880,332500
1881,750000
1882,435000
1883,340000
1884,1760000
1885,350000
1886,292000
1887,1425000
1888,900000
1889,240000
1890,306000
1891,725000
1892,929000
1893,450000
1894,154000
1895,824000
1896,469000
1897,529950
1898,385000
1899,255000
1900,1169000
1901,214000
1902,520000
1903,499000
1904,1100000
1905,350000
1906,1468000
1907,350000
1908,630000
1909,770000
1910,410000
1911,910000
1912,469950
1913,442000
1914,246000
1915,435000
1916,440000
1917,294999
1918,580000
1919,277500
1920,452000
1921,1280000
1922,305000
1923,515000
1924,244000
1925,749000
1926,242500
1927,450000
1928,187500
1929,710000
1930,948000
1931,500000
1932,371000
1933,229000
1934,3000000
1935,2150000
1936,809950
1937,385000
1938,619500
1939,905000
1940,920000
1941,542500
1942,335000
1943,258000
1944,444500
1945,240000
1946,427800
1947,405000
1948,689000
1949,370000
1950,325000
1951,799000
1952,419000
1953,350000
1954,249950
1955,791500
1956,650000
1957,690000
1958,310000
1959,282500
1960,960000
1961,405000
1962,934000
1963,276000
1964,400000
1965,468000
1966,175000
1967,370000
1968,765000
1969,888550
1970,905000
1971,535000
1972,925900
1973,320000
1974,310000
1975,359950
1976,276000
1977,247500
1978,600000
1979,475000
1980,292000
1981,868500
1982,305000
1983,1200000
1984,620000
1985,541100
1986,317000
1987,770000
1988,469000
1989,800000
1990,1450000
1991,446450
1992,800000
1993,240000
1994,623000
1995,810000
1996,835000
1997,1017100
1998,312500
1999,297500
2000,635250
2001,235000
2002,155000
2003,203000
2004,890000
2005,930000
2006,451000
2007,306500
2008,1482500
2009,254922
2010,185000
2011,305000
2012,405000
2013,393000
2014,300000
2015,385000
2016,380000
2017,370000
2018,565000
2019,293000
2020,460000
2021,800000
2022,629950
2023,668500
2024,279000
2025,403000
2026,572000
2027,598600
2028,720000
2029,185000
2030,307000
2031,303000
2032,640000
2033,731781
2034,534950
2035,419000
2036,650000
2037,465000
2038,952000
2039,325000
2040,450000
2041,554950
2042,437500
2043,670000
2044,400000
2045,335000
2046,585000
2047,665000
2048,375000
2049,477000
2050,489950
2051,575000
2052,410000
2053,1150000
2054,288400
2055,460000
2056,599950
2057,407185
2058,726000
2059,151600
2060,432000
2061,800000
2062,400000
2063,393000
2064,452000
2065,480000
2066,289950
2067,780000
2068,372000
2069,555000
2070,845950
2071,335000
2072,172500
2073,305000
2074,551000
2075,235000
2076,940000
2077,362000
2078,379000
2079,207000
2080,150000
2081,600000
2082,270000
2083,280000
2084,465000
2085,206000
2086,247000
2087,350500
2088,480000
2089,267000
2090,342000
2091,917500
2092,570000
2093,835000
2094,610000
2095,500000
2096,503000
2097,425000
2098,399950
2099,435000
2100,650000
2101,315000
2102,435000
2103,380000
2104,279950
2105,306000
2106,299950
2107,475000
2108,195000
2109,599950
2110,425000
2111,540000
2112,206600
2113,640000
2114,350000
2115,295000
2116,260000
2117,277284
2118,550000
2119,727000
2120,779000
2121,602500
2122,455600
2123,500000
2124,168000
2125,600000
2126,415000
2127,410000
2128,525000
2129,311000
2130,458000
2131,350000
2132,565000
2133,300000
2134,499000
2135,720000
2136,315000
2137,910000
2138,168000
2139,750000
2140,599999
2141,377000
2142,522500
2143,345000
2144,595000
2145,815000
2146,430000
2147,224000
2148,895950
2149,1164000
2150,439990
2151,440000
2152,226000
2153,693000
2154,297000
2155,1112000
2156,275000
2157,365000
2158,201000
2159,830200
2160,475000
2161,535000
2162,347500
2163,1920000
2164,2367000
2165,184900
2166,569950
2167,705000
2168,550000
2169,324950
2170,427000
2171,464000
2172,396450
2173,470000
2174,432250
2175,500000
2176,455000
2177,375000
2178,645000
2179,360000
2180,399000
2181,510000
2182,485000
2183,435000
2184,320000
2185,445000
2186,290000
2187,559950
2188,540000
2189,718000
2190,429000
2191,1014250
2192,455000
2193,379500
2194,633000
2195,570000
2196,208000
2197,554000
2198,325000
2199,525000
2200,755000
2201,970000
2202,275000
2203,402000
2204,515000
2205,326000
2206,430000
2207,435000
2208,1505000
2209,485000
2210,249000
2211,379260
2212,740000
2213,820000
2214,290000
2215,276000
2216,473000
2217,387000
2218,240000
2219,924000
2220,1135000
2221,540000
2222,545000
2223,344000
2224,480000
2225,395000
2226,363000
2227,340500
2228,365000
2229,234000
2230,465250
2231,335000
2232,350000
2233,1118000
2234,661000
2235,732350
2236,874950
2237,425000
2238,540000
2239,700000
2240,405000
2241,280000
2242,250000
2243,505000
2244,405000
2245,325000
2246,425000
2247,375000
2248,319990
2249,523000
2250,272167
2251,350500
2252,563000
2253,343000
2254,495000
2255,247500
2256,525000
2257,397500
2258,600000
2259,259000
2260,552000
2261,435000
2262,1055000
2263,1398000
2264,935000
2265,690000
2266,417000
2267,290000
2268,517100
2269,283500
2270,725000
2271,275000
2272,183000
2273,565000
2274,269950
2275,398000
2276,680000
2277,875000
2278,853505
2279,660000
2280,725000
2281,485000
2282,420000
2283,500000
2284,1000000
2285,258000
2286,408000
2287,1170000
2288,371000
2289,260000
2290,529000
2291,420000
2292,630000
2293,210000
2294,208000
2295,160000
2296,395000
2297,1865000
2298,227000
2299,851000
2300,327000
2301,230000
2302,312891
2303,660000
2304,660000
2305,367000
2306,426000
2307,394475
2308,875000
2309,1200000
2310,635000
2311,460000
2312,380000
2313,285000
2314,750500
2315,460000
2316,495000
2317,1875000
2318,340000
2319,385000
2320,410000
2321,592000
2322,405000
2323,550000
2324,355000
2325,270000
2326,785000
2327,899000
2328,242000
2329,402000
2330,796000
2331,785000
2332,300000
2333,464950
2334,549000
2335,207000
2336,770000
2337,837219
2338,318000
2339,275000
2340,289000
2341,700000
2342,500000
2343,329000
2344,259000
2345,535000
2346,571000
2347,1315000
2348,217000
2349,267500
2350,479000
2351,970000
2352,200000
2353,496000
2354,640000
2355,280000
2356,425000
2357,270000
2358,650000
2359,580000
2360,680000
2361,293000
2362,477000
2363,640000
2364,610000
2365,250000
2366,289999
2367,311500
2368,1220000
2369,485000
2370,373000
2371,339000
2372,310000
2373,1145000
2374,1180000
2375,232000
2376,781000
2377,635000
2378,1325000
2379,260000
2380,282000
2381,550000
2382,484000
2383,284000
2384,700000
2385,442000
2386,370000
2387,225000
2388,402000
2389,401000
2390,249900
2391,675000
2392,365000
2393,250000
2394,420000
2395,310000
2396,471000
2397,284000
2398,630000
2399,428000
2400,260000
2401,725000
2402,907000
2403,279000
2404,725000
2405,499950
2406,490000
2407,449950
2408,860000
2409,465000
2410,402300
2411,250000
2412,575000
2413,225000
2414,505000
2415,705000
2416,676101
2417,339950
2418,946000
2419,420000
2420,580000
2421,554600
2422,865000
2423,281500
2424,215000
2425,485000
2426,390000
2427,625000
2428,440000
2429,729000
2430,771000
2431,549900
2432,385000
2433,1075000
2434,368000
2435,230000
2436,690000
2437,324360
2438,454000
2439,345000
2440,500000
2441,315000
2442,1355000
2443,460000
2444,540000
2445,310000
2446,431000
2447,391000
2448,519995
2449,450000
2450,454000
2451,398651
2452,875000
2453,430000
2454,715000
2455,302000
2456,498800
2457,190000
2458,278000
2459,1715000
2460,995000
2461,803000
2462,230000
2463,479950
2464,427550
2465,604000
2466,465000
2467,780000
2468,790000
2469,325000
2470,419000
2471,381156
